"id","staff_fte","beds","remote","case_mix","discharges","alos","bed_days","days","outpatients","cost_idr","inpatient_share","expected_deaths","deaths","bor","bto","unitcost_ip"
"RS-S001",88.5,151,0,1.07862017881125,4394,3.19208010923987,14026,365,14912,13399918125,0.6,95,106,25.4486074571351,29.0993377483444,1829756.68525262
"RS-S002",112.4,109,0,1.38594811372459,3535,4.15106082036775,14674,365,10801,15540647044,0.6,98,95,36.883247455071,32.4311926605505,2637733.58596888
"RS-S003",210,175,0,1.28422327023,6459,3.94318005883264,25469,365,22360,24255906978,0.6,166,149,39.8731898238748,36.9085714285714,2253219.41272643
"RS-S004",95.4,147,0,1.13809454087168,2924,3.76744186046512,11016,365,18975,13855273143,0.6,67,62,20.5311713726587,19.891156462585,2843079.30430917
"RS-S005",106.5,78,0,0.860450307093561,3313,3.21279806821612,10644,365,17314,13365714538,0.6,57,66,37.3867228661749,42.474358974359,2420594.24171446
"RS-S006",195.1,41,0,1.0908632228151,2933,4.8472553699284,14217,365,19835,19757896766,0.6,64,71,95.0016705646509,71.5365853658537,4041847.27569042
"RS-S007",165.7,160,0,1.00069116689265,5222,5.15472998851015,26918,365,20602,21930906977,0.6,105,96,46.0924657534247,32.6375,2519828.4538874
"RS-S008",51.3,134,0,1.29002933409065,3488,5.36582568807339,18716,365,18251,8950841541,0.6,90,96,38.2662032304232,26.0298507462687,1539708.98067661
"RS-S009",92.3,138,0,1.2086394675076,3722,4.98683503492746,18561,365,24780,14418843192,0.6,90,87,36.8493150684931,26.9710144927536,2324370.20827512
"RS-S010",62,128,0,1.210888152197,3659,3.03962831374693,11122,365,22580,10006036957,0.6,89,109,23.8056506849315,28.5859375,1640782.22853239
"RS-S011",222.7,171,0,0.864269135706127,5723,3.29320286562991,18847,365,32976,29008297985,0.6,99,99,30.1962669230153,33.4678362573099,3041233.4074786
"RS-S012",71.8,108,0,1.4489854272455,3266,5.1830985915493,16928,365,11017,9857223084,0.6,95,77,42.9426686960934,30.2407407407407,1810879.92969994
"RS-S013",190.2,65,0,0.840523765236139,3262,3.24770079705702,10594,365,16873,20199855103,0.6,55,55,44.6533192834563,50.1846153846154,3715485.3040466
"RS-S014",196.6,40,0,1.13051202204078,2824,4.6179178470255,13041,365,18036,18956045723,0.6,64,68,89.3219178082192,70.6,4027488.46805949
"RS-S015",216.4,136,0,1.39942075461149,4349,5.018395033341,21825,365,25198,25741827710,0.6,122,127,43.9665592264303,31.9779411764706,3551413.34237756
"RS-S016",60.2,88,0,1.25782382097095,2005,4.71172069825436,9447,365,7784,8559301269,0.6,50,57,29.4115815691158,22.7840909090909,2561386.91341646
"RS-S017",172,136,0,0.854883835278451,3798,5.13638757240653,19508,365,20520,20804568847,0.6,65,62,39.2989524576954,27.9264705882353,3286661.74518167
"RS-S018",108.7,59,1,1.21665137875825,2518,5.5559968228753,13990,365,11837,12684276466,0.6,61,65,64.9640120733689,42.6779661016949,3022464.60667196
"RS-S019",40,178,0,0.985664710216224,3232,3.40717821782178,11012,365,14969,9566071880,0.6,64,68,16.9493612436509,18.1573033707865,1775879.68069307
"RS-S020",180.2,80,1,1.12053677774966,4568,3.16090192644483,14439,365,19262,21441665871,0.6,102,109,49.4486301369863,57.1,2816330.89373905
