id_rs,gp_FTE,spec_FTE,nurse_total,other_prof,beds,outpatients,bed_days,admissions1,bed_occ,throughput,alos,totalcost_op,total_cost_bd,totalcost_ip,poorins,publichospital,classCD,non_JavaBali
76,17.66589,38.507034,262,171,118,25845.33,28069.33,6945.333,.65171432,58.858761,7.0882158,1090119.6,5938384,5938384,.1238103,0,1,0
103,18.08333,63.083328,324,120,604,228805.3,123216,19524,.55890411,14,2.427423,2707283,3544005.3,4197960.5,.076441698,1,0,0
30,20.588329,58.060638,1101,661,739,334760.31,169351,23332,.62784213,33.441139,6.8527088,1859570.5,7229780.5,6825769.5,.1167094,1,0,1
121,14.8775,19.176655,120,59,145,82050,23213.33,3388,.43860811,23.36552,6.851634,1162444.3,1181593.1,1181593.1,.2353835,1,1,0
63,14.56619,20.990891,318,220,519,185777.3,184840,35745.328,.97574371,68.873466,6.5788722,1929950.4,5694506.5,5694506.5,.3319881,1,0,0
51,5.3238592,1.3285563,95,46,52,4823.5532,21976,490,1.15785,15.26891,6.4992108,125900.93,487285.06,124871.5,.034836002,1,1,1
186,45.588829,105.37016,594,516,745,391542.31,202984,31722,.74647051,42.579861,6.4263921,5792817,14376492,14376490,.1816289,1,0,1
34,7.3174181,17.872147,45,30,46,11927.33,11009,1723,.65568793,37.45652,6.4005809,244154.06,618291,618291,.1167094,0,1,1
134,66.441628,151.16702,770,668,720,338920.59,203273.3,32408,.77349061,45.011108,6.2723188,3033485.3,6772009.5,6772011.5,.0234442,1,0,0
47,13.42424,13.266666,175.89999,52,178,29273.859,38913.328,6232,.59894311,35.01123,6.2441158,3556093.8,4047472.8,4047471.5,.0935684,1,0,1
36,16.544161,9.8924713,249,46,212,98389.719,53628,8474.667,.69304729,41.100632,6.154706,296314.78,481377.91,468192.47,.1409272,1,0,1
20,6,17.041542,101,50,96,7179,12926.67,2171,.36891171,22.61458,5.9652362,144026.36,323738.5,323738.44,.1739469,0,1,1
48,40.813042,65.75,371.66669,205,543,708181.63,82936,1232,.41845661,25.8232,5.9147048,1524281.5,6415204,563652.19,.034836002,1,0,1
21,67.941628,102.30914,561,661,617,274606.5,138721,24260,.61597657,39.31929,5.914094,2756255,3598092.5,3598092.8,.1739469,1,0,1
189,9.8840666,44.67915,112,119,106,32724.881,24849.33,5584,.64226758,52.679241,5.898252,821145.5,1977453.5,1977453.5,.1816289,0,1,1
89,31.632259,69.886757,459,598,387,257680,108722,19524,.76968598,50.449612,5.568634,2437712,7744661.5,7744661,.1379948,0,0,0
3,11.83833,4.6086531,47.66666,34,159,16386.33,16910,4035,.29137591,25.377359,5.5533662,299757.72,1197868.4,1197868,.145349,1,0,1
143,6.3091378,6.0441632,124,58,108,42026.16,32694,4030,.82937592,55.01852,5.5021882,468527.56,1115624.3,756641.75,.61482191,1,1,1
147,4.5112362,7.8061819,67.5,91,104,9777.334,14876,2684,.3918862,26.19231,5.4610872,305713.66,1508468,1486317.6,.62388122,0,1,1
2,3.1111109,9.0441628,21,9,56,783,1581.333,293.33331,.077364601,5.2380948,5.3909092,135513.23,347280.97,347280.81,.085253403,1,1,1
184,26.75,37.294159,610,340,358,89460.789,64687,12186,.49504101,34.039101,5.3087401,1550790.6,3776149,3776149,.1816289,1,0,1
73,26.8533,24.62196,232,204,103,45752.301,16150,3066,.42957839,29.766991,5.2674489,603796.19,3008956.5,3008956.3,.110335,1,1,0
25,23.33333,6.25,173.5,103,171,34046.66,45270.672,8438,.72531712,50.261211,5.2672982,584030.06,2190263,2150338.3,.1344209,1,1,1
196,6.0441632,4.088326,85,47,80,17598.33,25358.67,4969.333,.86844748,62.116661,5.1153851,320796.97,976480.5,976480.38,.44911179,1,1,1
162,22.553379,65.529762,133,194,162,7901,38816,7732,.65645188,47.72839,5.0384221,2193849.5,5788036,5788038.5,.1256004,0,1,1
82,9.7928457,16.63748,18,28,160,33594,51156,10274.67,.87595892,64.216667,5.0079288,273656.63,686508.94,686508.94,.52076042,1,1,0
151,7,2,58.416672,136,121,35376.672,34292,6872,.77645189,56.81818,4.987927,490626.16,1722775.3,1722023.5,.59557623,0,1,1
109,14.06388,25.338324,202,162,234,100099,67728,13800,.79297513,58.974361,4.9078259,1319195.5,4187715.8,4187716.3,.387808,1,0,0
74,16.961611,28.926979,106,139,93,43798,26278,5481,.77413458,58.935478,4.8385201,1298324.4,1563130.8,1563130.8,.110335,0,1,0
102,18.92424,14.937693,134,173,209,88410,47259,10311,.61950582,49.33493,4.8302331,1357652.3,771269.69,771269.38,.22041699,1,1,0
194,23.66667,9.7258043,304,132,195,23397,54088,11219,.75992978,57.533329,4.8211069,813952.75,1968373.3,1968373.5,.2630859,1,1,1
88,20.59387,22.59457,318,597,369,617901.31,100909,20462,.74922228,57.016258,4.7962828,5920236.5,9709349,9443068,.1379948,0,0,0
197,14.45455,8.272727,175.89999,64,150,38106.238,39641.328,8341.333,.72404259,55.608891,4.752398,605926.75,1301668.6,1301668.4,.28809801,1,1,1
176,13.5,12,107,128,165,54902.57,47706,8583,.79212952,60.87273,4.749701,1163175.5,895501.75,765242.19,.3835769,1,1,1
14,12.33333,47.450001,315,155,331,25609.33,41783,8206,.34584281,26.58308,4.7486081,1271413.8,4758941.5,4438219,.1739469,0,0,1
190,6,13.858024,92,94,109,28047.5,31444,6679,.79034811,61.27523,4.707891,1041565.8,2964083,2964082.8,.2258289,0,1,1
120,21.25,16.916668,161,154,221,55001,63959,12916,.79289663,61.728512,4.6883888,708155.25,2427420.5,2298238.3,.073619403,1,1,0
170,7.25,3,122,56,69,660352.63,15977.33,3574.667,.63439882,51.806759,4.6427741,545163.81,883476.69,883476.81,.39050731,1,1,1
185,7,14.909091,397,185,227,39269.898,47333.328,9554.667,.57127911,45.027901,4.630837,1876755.3,4777589.5,4465979.5,.1816289,0,0,1
39,21.633249,28.27792,272,280,333,197953.3,65370,13624,.53782552,42.591591,4.6090388,3724297,3212509.3,3085893.3,.1289044,1,0,1
90,17.044161,22.495522,226,181,140,199860.5,33113,7185.333,.64800388,51.328571,4.6079879,2075601.3,2913076,2912806,.1379948,1,0,0
182,9.666667,6.176651,161,120,183,44957.328,52994,11809,.79338282,64.530052,4.59061,789245.81,2925224.8,2925225,.4921771,1,1,1
135,8.583333,30.91552,45.5,35,40,86464.773,8784,1912,.60164392,48.025002,4.572618,774273.13,1173494.1,1167996.3,.0234442,0,1,0
80,5.5648422,3.8061819,67,20,50,8358.4141,2287,502,.1253151,10.04,4.5557771,105922.84,136480.02,136480.05,.35274851,0,1,0
108,21,14.615873,202,261,207,56687.691,64986,13755,.86011517,69.144928,4.5403481,993356.13,4879844,4689601,.1981778,0,1,0
177,16.66667,3.132488,133,81,98,12931,10414,2313,.29113781,23.602039,4.502378,565505.63,1097699.1,1097699.1,.35456261,1,1,1
77,21.66667,52.833328,324,538,321,123920.8,74401,16739,.63501048,52.17445,4.4423809,2358660.3,6077575,6074308.5,.16946299,1,0,0
188,2,38.044159,81,147,264,11875.33,35400,7796,.36737239,30.21591,4.437758,301810.47,2063495.4,2016674,.1816289,0,0,1
4,10.8597,14.132488,268.46429,99,179,48126,43021,9709,.65846783,54.240219,4.4310431,490048.09,1265685.6,1265685.6,.093109697,1,1,1
160,15.66667,6.1324878,164.5,111,139,20263,40182,6574,.79199761,65.496407,4.4136639,799617.81,2282670,1648316.1,.49780691,1,1,1
127,35.088329,29,261,193,217,143210.3,47556,13832,.60041672,63.74194,4.3919468,1129064.6,2545302.8,2545302.5,.074590102,1,1,0
115,31,20.135071,227,280,208,39106.898,42968,10069.33,.56596422,48.410259,4.3654842,468258.81,1810873,1810872.4,.079295799,1,0,0
110,8.188694,12.90572,165,187,205,83912.977,58066.672,13308,.77603298,64.917084,4.3632898,1634286.5,3473651.5,3473651.5,.19640949,1,0,0
150,2,9.0898914,83.242416,38,60,5566.667,11624,2678.667,.53077632,44.64444,4.3394718,780380.88,469210.56,469210.59,.62016279,0,1,1
99,11.10581,19.702251,65,92,94,1209.667,20239,6679,.4315874,58.658119,4.3306961,18734.115,3353343.3,4080045.5,.1226359,0,1,0
83,13,21.264973,18,48,152,70586,43469,10079,.78350759,66.309212,4.312829,1311055.4,1478277.3,1478276.9,.099088103,1,0,0
172,12.58333,5.5,169,28,185,32430.33,29252,9850,.43320251,53.24324,4.2653842,622131.13,1182272.3,1182272.9,.21822169,1,1,1
183,13.02645,9.6942911,90,72,150,12435.67,38364,8654,.70071232,60.16,4.2513299,190461.5,1496793.4,1435421.6,.30264959,0,1,1
65,1.761236,9.333333,47,74,38,2832,5452,1305,.3930786,34.34211,4.2461061,28208.158,517205.72,517205.69,.2120923,0,1,0
128,23.117769,13.058883,130,187,150,48858.672,29924,7346,.54655713,48.973331,4.2241669,991055.44,1635768.5,1635769.1,.1066389,1,1,0
31,23.327959,47.22551,158,186,150,312334.81,27151,6483,.49590871,43.23333,4.186738,1552883.1,3280055.3,3279043,.1167094,0,1,1
