"id","logistics_fte","fte1","link1","service1","fte2","link2","service2","fte3","link3","service3"
"JEJARING-01",22.7310292294715,38.0490194517188,2302,1478,35.9581274189986,2097,1924,39.9656001571566,2133,1949
"JEJARING-02",13.5415257269051,37.3486317205243,1477,1197,27.5631166389212,1254,920,39.7526733437553,1093,984
"JEJARING-03",11.857874301495,34.7162234282587,1224,1123,19.6352463425137,1257,857,39.0961166040506,1304,1003
"JEJARING-04",12.3339565598872,29.7739473555703,1490,883,30.3212033445016,1466,968,20.3935630305205,892,807
"JEJARING-05",18.0600496043917,25.7535203336738,1934,1503,27.204089021543,1539,919,23.6647163727321,1605,937
"JEJARING-06",15.423387743067,24.7682404972147,1144,745,32.5736089411657,1670,1266,21.5002311952412,1572,1203
"JEJARING-07",10.3651024028659,16.6212822578382,1084,885,32.004391370574,1318,1104,29.806988480268,1032,873
"JEJARING-08",15.5874993407633,30.5025583924726,1240,975,16.2893240433186,2177,1184,31.5680271224119,1435,796
"JEJARING-09",24.4050466001499,31.0823311482091,2633,2297,39.2221220571082,2971,2161,27.0109917537775,3326,1876
"JEJARING-10",16.0540684778243,31.5615085628815,1446,802,17.7608172502369,1514,1207,26.9570702314377,1723,1455
"JEJARING-11",10.5112716567237,15.2326612651814,1306,723,21.7873840860557,1297,983,25.3748757624999,1048,901
"JEJARING-12",17.8468872176018,34.9512074585073,1666,1290,35.8344590384513,2344,2129,39.5679864252452,2090,1281
"JEJARING-13",18.8587998296134,30.2765469043516,2156,1883,31.3029185321648,2448,1665,20.4776780481916,1331,1099
"JEJARING-14",12.7012302493677,36.8171931453981,1775,1497,28.1173268950079,1581,1015,16.3126646226738,1154,934
"JEJARING-15",10.3223175054882,25.0282586121466,819,765,26.9653349043801,1367,1059,15.1188021677081,823,505
"JEJARING-16",20.8751271374058,24.2192990763579,1949,1645,38.605500132544,2734,2563,30.4824145429302,2648,1779
"JEJARING-17",23.7650116579607,37.7523601322901,3307,1674,38.3847170486115,1823,1299,36.8786298064515,2125,1716
"JEJARING-18",11.0930081503466,32.0674423861783,1170,723,24.7889985481743,1512,1354,30.8295208180789,890,710
"JEJARING-19",14.9407691333909,23.6818719457369,1852,1292,39.3392438511364,1727,1205,31.8303345155437,1421,1025
"JEJARING-20",18.444726143498,29.4213085994124,2104,1625,37.2200786229223,2228,1247,37.3242350155488,1955,1515
"JEJARING-21",17.3741878464352,34.4972774886992,1883,1776,33.7439945351798,1736,1540,26.8078449857421,1996,1308
"JEJARING-22",11.5183547697961,29.0982124896254,1057,607,28.6711093480699,1159,842,32.4612555187196,816,449
"JEJARING-23",11.7441710783169,39.2076487222221,1342,1245,38.6765562614892,1310,1191,28.4716868284158,964,876
"JEJARING-24",10.2447488903999,28.7329127057455,1067,810,20.5061670544092,866,782,32.7909798570909,1166,766
"JEJARING-25",13.3641101035755,18.9247683656868,1397,1176,16.6452234820463,982,657,38.0254756635986,1355,976
"JEJARING-26",22.7437731763348,25.8043044398073,2554,1564,19.644808958983,1643,1072,30.5607434920967,2880,1869
"JEJARING-27",20.0152740045451,32.8527963289525,2079,1920,38.7025681068189,2650,1517,28.5364487417974,1630,974
"JEJARING-28",23.4864167647902,28.2991083839443,2386,1943,25.3619374567643,2732,1511,30.2309803001117,2790,1850
"JEJARING-29",11.131398063153,18.0984185694251,922,812,22.3672803177033,971,887,21.0402132512536,1041,874
"JEJARING-30",13.027766935993,19.1431455349084,1719,964,33.2210051571019,1012,726,35.0320439471398,1554,978
"JEJARING-31",12.6208898192272,19.4503998360597,908,787,26.8609328521416,1088,872,18.3056918124203,1470,818
"JEJARING-32",20.1561607664917,24.1044173343107,2330,1628,27.2284585377201,1861,1601,17.7358368271962,1818,988
"JEJARING-33",10.0828978326172,36.301353169838,1169,680,35.3827369725332,1399,1164,15.1373262784909,840,527
"JEJARING-34",21.3465699146036,31.3611254421994,2537,2273,18.6727156781126,2167,942,39.4294614705723,2125,1602
"JEJARING-35",11.8635418370832,23.6215518997051,1035,727,20.3891008428764,1070,1011,38.3376884891186,1285,751
"JEJARING-36",20.3013180347625,26.9379235897213,1736,1385,38.4979806875344,1814,1612,35.7063215784729,2182,1599
"JEJARING-37",18.8432511652354,34.0777809417341,2396,1484,38.2422412896995,2105,1946,22.4107072374318,2489,1446
"JEJARING-38",23.3948645158671,39.9573546578176,2483,1840,32.828882363392,1930,1277,17.6893811067566,1803,893
"JEJARING-39",22.1305002260488,28.2203042914625,2742,1271,39.3049239274114,2387,1725,38.0111137963831,2028,1179
"JEJARING-40",15.6193230208009,20.3797034488525,1397,882,38.6341144365724,1605,1263,34.7066948283464,2043,1884
