"id","region","doctors_100k","nurses_100k","midwives_100k","outpatient_pct","anc4_pct","birth_assisted_pct","immunization_pct"
"KAB-S001","Barat",37.4532597418875,199.16795196943,121.413587634452,59.71,61.43,66.57,68.63
"KAB-S002","Barat",20.2203074167483,160.981928845868,151.863934672438,57.77,59.49,56.16,70.28
"KAB-S003","Barat",27.3125907685608,95.328971343115,56.6169333993457,46.32,52.81,39.48,49.21
"KAB-S004","Barat",44.4922992540523,137.138670049608,150.645014366601,78.87,69.48,77.74,63.48
"KAB-S005","Barat",30.3575694886968,149.921252820641,156.981335910968,57.67,54.67,54.51,65.05
"KAB-S006","Barat",19.2986814212054,107.429681094363,70.4498521587811,50.12,38.13,51.47,49.24
"KAB-S007","Barat",22.4730913038366,138.787093237042,73.3708217507228,56.15,54.73,53.32,55.58
"KAB-S008","Barat",17.480708041694,127.511603115126,59.7344245458953,41.05,38.77,45.04,39.67
"KAB-S009","Barat",22.0755071332678,187.594601586461,107.091223131865,58.4,59.34,55.38,56.49
"KAB-S010","Barat",43.345651240088,160.56359465234,118.708302280866,64.62,69.54,75.46,57.17
"KAB-S011","Barat",25.0416046776809,175.090348599479,92.5147992093116,50.39,50.15,56.24,50.83
"KAB-S012","Barat",19.0614101663232,198.966906685382,57.333269380033,45.98,56.26,49.81,43.73
"KAB-S013","Barat",16.5921088191681,138.354762634262,136.661522951908,52.48,57.91,44.65,46.13
"KAB-S014","Barat",34.3364266538993,144.162037791684,65.5699544586241,57.59,62.05,55.72,51.29
"KAB-S015","Barat",38.564376917202,133.922965973616,126.1735320976,60.03,65.49,60.99,68.86
"KAB-S016","Barat",27.9876093193889,144.080425938591,54.150810202118,42.95,45.15,57.03,44.14
"KAB-S017","Barat",18.3010238106363,99.7374494653195,65.5452312133275,42.08,39.23,46.02,46.38
"KAB-S018","Barat",37.4807338742539,160.101660368964,65.7559614698403,52.08,55.3,59.69,56.93
"KAB-S019","Barat",21.4595450484194,90.737554775551,109.675813748036,56.87,56.56,44.6,56.03
"KAB-S020","Barat",26.646178602241,95.5976607650518,63.7164679029956,50.47,48.87,50.75,46.74
"KAB-S021","Barat",22.259183046408,123.584168702364,140.999760341365,54.53,51.65,58.99,47.57
"KAB-S022","Barat",34.6971263084561,111.779742436484,77.7926341653802,49.58,48.78,47.18,47.94
