"id","beds","electricity_mwh","inpatients","outpatients","co2_tonnes"
"HIJAU-001",67,761.119173769839,2366,14184,530.41
"HIJAU-002",71,1175.19018859603,3752,21635,924.99
"HIJAU-003",210,1750.80448603258,7047,25919,1478.23
"HIJAU-004",180,1186.82661382481,5000,26349,420.25
"HIJAU-005",212,1117.7216904005,6061,26523,935.46
"HIJAU-006",168,685.614827065729,5028,29376,534.12
"HIJAU-007",226,1470.93124536332,5768,33859,1335.12
"HIJAU-008",181,675.193842686713,4799,23462,345.62
"HIJAU-009",135,1676.03046430741,5799,32380,1191.56
"HIJAU-010",210,728.837130009197,6167,32868,537.6
"HIJAU-011",90,761.734481016174,3337,14558,305.82
"HIJAU-012",159,1067.61809152085,4982,23601,840.01
"HIJAU-013",68,845.340264821425,2921,11797,363.63
"HIJAU-014",223,1148.64614093676,5861,33568,475.18
"HIJAU-015",213,1363.29259534832,5854,27758,682.8
"HIJAU-016",138,569.86817936413,3344,11020,477.16
"HIJAU-017",141,854.429058986716,4995,22519,409.37
"HIJAU-018",163,1372.58537453599,5567,18167,566.42
"HIJAU-019",230,1390.67800093908,5979,22000,1304.17
"HIJAU-020",124,639.315741206519,2963,14532,430.87
"HIJAU-021",73,1133.98200506344,3998,14876,423.93
"HIJAU-022",198,1136.02992442902,6057,21511,574.07
"HIJAU-023",225,1296.89400892239,7816,44891,1069.54
"HIJAU-024",147,1092.7180503495,4056,20261,524.95
"HIJAU-025",223,1693.76260205172,8362,41206,581.5
"HIJAU-026",136,1417.74292669725,4415,15246,923.55
"HIJAU-027",113,771.447139489464,3428,20110,338.54
"HIJAU-028",146,1717.29193613864,4626,23180,1133.3
"HIJAU-029",149,725.622532726265,5016,21721,333.01
"HIJAU-030",154,1269.37210108154,4400,23755,740.49
"HIJAU-031",150,1622.8730217088,5253,25948,1104.3
"HIJAU-032",220,594.121702201664,4984,23546,548.86
"HIJAU-033",99,1633.25908016413,5473,26522,1299.39
"HIJAU-034",118,647.253503580578,3397,13961,199.06
"HIJAU-035",178,914.33514142409,4630,18535,360.2
"HIJAU-036",176,576.424543955363,5395,16380,531.42
"HIJAU-037",64,709.953133249655,2420,8662,408.08
"HIJAU-038",161,922.94116851408,4713,17737,647.25
"HIJAU-039",94,1004.47398317046,3717,16760,342.86
"HIJAU-040",68,1266.9305986492,2772,8464,484.25
"HIJAU-041",166,1177.04514199868,4734,18247,1112.35
"HIJAU-042",88,530.14389523305,2653,12078,425.46
"HIJAU-043",118,635.530221043155,4179,22877,585.18
"HIJAU-044",90,1414.84591108747,3451,13177,508.49
"HIJAU-045",230,669.170498196036,6866,27442,618.59
"HIJAU-046",200,598.840537155047,5758,21661,389.93
"HIJAU-047",90,646.940722106956,2694,8943,510.3
"HIJAU-048",66,666.668683779426,2507,13987,401.77
"HIJAU-049",149,1443.36805562489,6462,37922,550.83
"HIJAU-050",97,627.637284644879,2910,12245,307.66
"HIJAU-051",115,678.099905699492,3721,18613,636.84
"HIJAU-052",173,881.954605644569,4175,13276,804.11
"HIJAU-053",63,1671.18899528868,4279,25674,912.94
"HIJAU-054",159,1723.24372348376,5453,23633,1133.42
"HIJAU-055",186,983.646812732331,5528,25367,752.37
"HIJAU-056",229,1733.04654695094,8450,27625,1247.41
"HIJAU-057",229,559.223892330192,5789,31751,421.07
"HIJAU-058",247,1317.13669884484,7824,42516,488.04
"HIJAU-059",62,1761.07398793101,3620,20507,1062.13
"HIJAU-060",81,984.088185918517,3838,16086,763.03
