"id","sbm_tanpa_emisi","sbm_dengan_emisi","co2_awal","co2_target"
"HIJAU-001",0.762337382094664,0.474961768144424,530.41,206.027443700233
"HIJAU-002",0.974806602427744,0.697019598394983,924.99,543.306613989176
"HIJAU-003",0.626772165895653,0.442206911869913,1478.23,600.696225626551
"HIJAU-004",0.698956209039874,0.62278512234145,420.25,311.886503067485
"HIJAU-005",0.724987295713507,0.50984562146,935.46,422.972930098556
"HIJAU-006",1,1,534.12,534.12
"HIJAU-007",0.681477262405841,0.439171273047598,1335.12,456.032042388424
"HIJAU-008",0.823165916852696,0.832991486776887,345.62,337.600552909876
"HIJAU-009",0.859723908018653,0.547384184832362,1191.56,494.314944289855
"HIJAU-010",1,0.999999999999999,537.6,537.599999999998
"HIJAU-011",0.765321418386027,0.699910372993881,305.82,249.379757888005
"HIJAU-012",0.739663245134614,0.514768926625534,840.01,333.502805694801
"HIJAU-013",0.718400392795798,0.571502546131962,363.63,248.990162488176
"HIJAU-014",0.77594582053029,0.731802470197729,475.18,385.326152977792
"HIJAU-015",0.663292557953513,0.516554474205403,682.8,401.71521349422
"HIJAU-016",0.572533903278529,0.418514594018217,477.16,243.229932630759
"HIJAU-017",0.853369514416579,0.841795923402847,409.37,352.535571583622
"HIJAU-018",0.59053816684183,0.519631028454116,566.42,381.497122332002
"HIJAU-019",0.557873825003335,0.378369025293917,1304.17,451.97695786863
"HIJAU-020",0.65190058678779,0.446756288385044,430.87,215.517431335239
"HIJAU-021",1,1,423.93,423.93
"HIJAU-022",0.658924892421364,0.578915081153821,574.07,386.615763806292
"HIJAU-023",1,1.00000000000001,1069.54,1069.54000000001
"HIJAU-024",0.64105773593658,0.478354560664744,524.95,259.471277771905
"HIJAU-025",0.8699091369416,1,581.5,581.5
"HIJAU-026",0.534970757578406,0.371768511783705,923.55,376.340831012237
"HIJAU-027",0.792670296308689,0.683728866835762,338.54,237.047767963536
"HIJAU-028",0.61362370034611,0.383358950466267,1133.3,394.326768801967
"HIJAU-029",0.883076284630135,1,333.01,333.01
"HIJAU-030",0.66232266334679,0.454749645698215,740.49,275.022918077229
"HIJAU-031",0.699477285609262,0.453197248642193,1104.3,447.773133704506
"HIJAU-032",0.789714537156965,0.60089930574788,548.86,362.517339782528
"HIJAU-033",1,1,1299.39,1299.39
"HIJAU-034",0.690832572771006,1,199.06,199.06
"HIJAU-035",0.634130710268801,0.607286763884784,360.2,330.087071111414
"HIJAU-036",0.832349300174852,0.821036504886886,531.42,518.762780561636
"HIJAU-037",0.618762117079906,0.450111205330675,408.08,206.284215413208
"HIJAU-038",0.653122302078615,0.496148841409393,647.25,326.421425885072
"HIJAU-039",0.75529463830654,0.693194625763843,342.86,294.563221212025
"HIJAU-040",0.488939679610973,0.362047180201043,484.25,236.289192200641
"HIJAU-041",0.585433382309131,0.397291198512951,1112.35,412.680136209151
"HIJAU-042",0.732048292308487,0.514779416353368,425.46,182.052983785629
"HIJAU-043",1,0.999999999999997,585.18,585.179999999998
"HIJAU-044",0.563261643197693,0.422779678269754,508.49,294.168110492061
"HIJAU-045",1,1,618.59,618.590000000002
"HIJAU-046",0.890539207189671,1,389.93,389.93
"HIJAU-047",0.558115754500351,0.410688045705604,510.3,234.540638430632
"HIJAU-048",0.832360457498134,0.572941840539977,401.77,204.811436977447
"HIJAU-049",1,1,550.83,550.83
"HIJAU-050",0.674585605296157,0.555251538006183,307.66,181.51794478517
"HIJAU-051",0.834679069659366,0.574959755487447,636.84,238.274714965338
"HIJAU-052",0.511696230519226,0.355695152331866,804.11,303.673734669048
"HIJAU-053",1,1,912.94,912.94
"HIJAU-054",0.636169668115554,0.423782480721158,1133.42,464.821415970302
"HIJAU-055",0.7724070311711,0.562418194515673,752.37,381.03809068768
"HIJAU-056",0.673002551171057,0.526731770158782,1247.41,628.526369365561
"HIJAU-057",1,1,421.07,421.07
"HIJAU-058",0.895576157162968,1,488.04,488.04
"HIJAU-059",0.807347392608658,0.595191169812898,1062.13,612.950875807033
"HIJAU-060",0.853946096315513,0.605364446269948,763.03,359.639045621766
