"id","period","score","visits","visits_target","fte","fte_target"
"LEAN-01","sebelum",0.631467698377658,2928,2927.99999999952,111.061041778885,74.7114771902893
"LEAN-02","sebelum",0.573806822821199,1918,2889.11298297622,57.1887088241056,53.8630243304068
"LEAN-03","sebelum",0.891643207495492,4170,4185.39563955611,123.801526217721,123.801526217781
"LEAN-04","sebelum",0.643110371099454,2415,3519.88517781436,71.295234025456,57.1981915464719
"LEAN-05","sebelum",0.632749645980856,2378,3199.80511470843,91.0674379440024,87.5527543061758
"LEAN-06","sebelum",0.639445543315678,1871,2436,61.8907349184155,51.4672187156975
"LEAN-07","sebelum",0.74488524872292,3465,3464.99999999931,113.054644223303,100.081734915621
"LEAN-08","sebelum",0.900864907155998,3425,3768,58.5100826341659,58.5100826341659
"LEAN-09","sebelum",0.900870780283116,3852,4237,136.554433172569,136.554433172569
"LEAN-10","sebelum",0.808943345872755,3443,3624.72217024831,144.543692236766,107.62771745504
"LEAN-11","sebelum",0.728296033103627,3707,3768,75.4034000681713,58.5100826341659
"LEAN-12","sebelum",0.797794212102922,3762,3955.25553797459,100.897692656144,73.438268706664
"LEAN-13","sebelum",0.829446207771044,2606,2605.99999999985,64.1524398233742,57.8892020666485
"LEAN-14","sebelum",0.692031834073267,3206,3788.23186388495,115.352639369667,115.352639369664
"LEAN-15","sebelum",0.862567653931011,2905,2905.00000000009,53.7462872685865,53.746287268584
"LEAN-16","sebelum",0.722451912978884,2271,2436,56.3824578886852,51.4672187156975
"LEAN-17","sebelum",0.900897301178251,2215,2436,51.4672187156975,51.4672187156975
"LEAN-18","sebelum",0.84591683391649,3761,4213.83224144655,135.459885676391,135.459885676443
"LEAN-19","sebelum",0.82140942376131,3214,3645.08782811625,72.6868159137666,57.8601924686249
"LEAN-20","sebelum",0.873432145130014,3538,3538.00000000177,55.7715183356777,55.7715183356793
"LEAN-21","sebelum",0.739794511749707,2421,2436,65.8182133454829,51.4672187156975
"LEAN-22","sebelum",0.752383042462366,3325,3603.35225410898,106.618107995018,106.618107995033
"LEAN-23","sebelum",0.851386481642741,3295,3426.13272664327,59.55307520926,56.7024815197295
"LEAN-24","sebelum",0.601716031916889,2956,2956.00000000119,110.81061991863,68.9538946344042
"LEAN-25","sebelum",0.673794089869404,2563,2562.99999999987,91.8426857562736,57.4672610455206
"LEAN-26","sebelum",0.632105508036035,3770,3769.99999999732,142.82837617211,114.491285392676
"LEAN-27","sebelum",0.652523949080419,2634,2634.00000000099,94.8600390926003,60.8216154189429
"LEAN-28","sebelum",0.604986968369615,3419,3418.99999999905,99.2922387085855,56.6647676885562
"LEAN-29","sebelum",0.880172366631947,4125,4124.99999999815,127.572611835785,127.572611835863
"LEAN-30","sebelum",0.837185907498741,3920,4132.86097025163,131.634444301017,131.634444301092
"LEAN-01","sesudah",0.702516590305313,3221,3221.00000000103,111.061041778885,88.5540945339828
"LEAN-02","sesudah",0.637613760163777,2110,2889.11298297622,57.1887088241056,53.8630243304069
"LEAN-03","sesudah",1,4587,4587,123.801526217721,123.801526217721
"LEAN-04","sesudah",0.713438454426109,2656,3519.88517781436,71.295234025456,57.1981915464719
"LEAN-05","sesudah",0.703228513761438,2616,3199.80511470843,91.0674379440024,87.5527543061757
"LEAN-06","sesudah",0.70991714104321,2058,2436,61.8907349184155,51.4672187156975
"LEAN-07","sesudah",0.82931778483382,3812,3811.99999999881,113.054644223303,113.054644223312
"LEAN-08","sesudah",1,3768,3768,58.5100826341659,58.5100826341659
"LEAN-09","sesudah",1,4237,4237,136.554433172569,136.554433172569
"LEAN-10","sesudah",1,3787,3787.00000000004,144.543692236766,144.543692236768
"LEAN-11","sesudah",0.88566013054224,4078,4078.00000000074,75.4034000681713,75.403400068161
"LEAN-12","sesudah",0.898980593055119,4138,4220.9121835451,100.897692656144,94.6166641729205
"LEAN-13","sesudah",1,2867,2867.00000000002,64.1524398233742,64.1524398233746
"LEAN-14","sesudah",0.768520934751697,3527,3788.23186388495,115.352639369667,115.352639369664
"LEAN-15","sesudah",1,3196,3196,53.7462872685865,53.7462872685865
"LEAN-16","sesudah",0.803240764371036,2498,2498.00000000073,56.3824578886852,51.7950397089034
"LEAN-17","sesudah",1,2436,2436,51.4672187156975,51.4672187156975
"LEAN-18","sesudah",0.939085937768195,4137,4213.83224144655,135.459885676391,135.459885676443
"LEAN-19","sesudah",0.925792857463741,3535,3796.54053490386,72.6868159137666,66.8777896590366
"LEAN-20","sesudah",1,3892,3892,55.7715183356777,55.7715183356777
"LEAN-21","sesudah",0.827804751489595,2663,2662.99999999981,65.8182133454829,56.5648511633151
"LEAN-22","sesudah",0.837551094666239,3658,3657.9999999993,106.618107995018,106.618107995034
"LEAN-23","sesudah",1,3625,3625.00000000001,59.55307520926,59.5530752092602
"LEAN-24","sesudah",0.671671723081142,3252,3251.99999999988,110.81061991863,78.9078486188322
"LEAN-25","sesudah",0.751167034571049,2819,2819.00000000048,91.8426857562736,69.561834560796
"LEAN-26","sesudah",0.702983021392178,4147,4146.9999999981,142.82837617211,132.302434671025
"LEAN-27","sesudah",0.725298584195377,2897,2897.00000000043,94.8600390926003,73.2468999287204
"LEAN-28","sesudah",0.672222475217258,3761,3760.99999999912,99.2922387085855,58.4730705865417
"LEAN-29","sesudah",1,4538,4538,127.572611835785,127.572611835785
"LEAN-30","sesudah",1,4312,4311.99999999998,131.634444301017,131.634444301016
