"id","super_crs","group","theta_group","theta_meta","TGR"
"RS-S001",0.928310547755136,"Kapasitas besar",0.934376370072686,0.933235423172982,0.998778921496467
"RS-S002",0.754401794642298,"Kapasitas besar",0.975159537224901,0.763451702944877,0.782899283452121
"RS-S003",0.77858182424175,"Kapasitas besar",0.850058222286107,0.849768237607918,0.999658864921735
"RS-S004",0.602917205572695,"Kapasitas besar",0.734695288875459,0.622677959093752,0.84753226068298
"RS-S005",0.821063130100189,"Kapasitas kecil",0.844551416446327,0.844551416446328,1
"RS-S006",0.746796737759061,"Kapasitas kecil",0.867127920789273,0.867127920789272,0.999999999999999
"RS-S007",0.757158829713308,"Kapasitas besar",0.797539814958919,0.788634507139151,0.988834027276461
"RS-S008",1.06210516378088,"Kapasitas besar",1,1,1
"RS-S009",0.804839737700835,"Kapasitas besar",0.821219385237127,0.80495179455952,0.980190931960392
"RS-S010",0.996516389327692,"Kapasitas besar",0.999088620075876,0.997250105511124,0.998159808321496
"RS-S011",0.668263247594482,"Kapasitas besar",0.71768796255601,0.71691552449087,0.998923713221566
"RS-S012",0.905256011374607,"Kapasitas besar",1,0.92031184168582,0.92031184168582
"RS-S013",0.630993510219639,"Kapasitas kecil",0.679793298590383,0.679793298590383,1
"RS-S014",0.736048179661826,"Kapasitas kecil",0.874842938491903,0.87484293849193,1.00000000000003
"RS-S015",0.555832026651275,"Kapasitas besar",0.764705882352942,0.565624587818988,0.739662922532522
"RS-S016",0.671899892575849,"Kapasitas kecil",0.773162813964944,0.773162813964941,0.999999999999996
"RS-S017",0.568797114152965,"Kapasitas besar",0.774062852311162,0.571960710796189,0.738907323983388
"RS-S018",0.692020948831243,"Kapasitas kecil",0.776950439760903,0.776950439760903,1
"RS-S019",1.18837155963303,"Kapasitas besar",1,1,1
"RS-S020",0.83442232659633,"Kapasitas kecil",0.844735375858523,0.838656997178885,0.992804399042173
"RS-S021",0.865910968915858,"Kapasitas besar",0.876253579147252,0.870075439341055,0.992949369961821
"RS-S022",0.920083252208606,"Kapasitas besar",1,1,1
"RS-S023",0.823233307436148,"Kapasitas kecil",0.892694107902999,0.840246198951883,0.941247613839056
"RS-S024",1.03644355309919,"Kapasitas kecil",1,1,1
"RS-S025",0.753027302285511,"Kapasitas besar",0.855794595289973,0.780193359723696,0.911659601518446
"RS-S026",0.65449186683209,"Kapasitas besar",0.769424800767952,0.659418931775558,0.857028433600529
"RS-S027",0.596320072151128,"Kapasitas besar",0.954128440366971,0.598438107944533,0.627209170826483
"RS-S028",0.665828633847305,"Kapasitas besar",0.838263186416184,0.69989064946594,0.834929483731922
"RS-S029",0.791067346876056,"Kapasitas besar",0.812175957683457,0.800452967539458,0.985565947830523
"RS-S030",0.929123540327608,"Kapasitas kecil",1,1,1
"RS-S031",0.522312797389209,"Kapasitas besar",0.697986577181207,0.535677662250352,0.767461266108678
"RS-S032",0.80686175630991,"Kapasitas besar",0.808393110349036,0.807697374497941,0.999139359499495
"RS-S033",1.01456164795236,"Kapasitas kecil",1,1,1
"RS-S034",0.716253865918171,"Kapasitas besar",0.885547602499324,0.742123707457625,0.838039316421945
"RS-S035",0.941416705906644,"Kapasitas besar",0.944532964701162,0.944308223041521,0.999762060544164
"RS-S036",0.695578826591908,"Kapasitas besar",0.787342070960048,0.711918423621928,0.904204728643356
"RS-S037",0.715654885291934,"Kapasitas kecil",0.818118268488827,0.818118268488816,0.999999999999987
"RS-S038",0.685249489569668,"Kapasitas besar",0.947052543873353,0.703652308402912,0.742991836044326
"RS-S039",0.782950195055396,"Kapasitas kecil",0.792307726838115,0.790986746361791,0.998332743160797
"RS-S040",0.758444519088788,"Kapasitas besar",1,0.779329598739128,0.779329598739128
"RS-S041",0.755174596059572,"Kapasitas besar",0.871528398877364,0.772187786259285,0.886015633287404
"RS-S042",0.58613536476895,"Kapasitas besar",0.765021571584151,0.608351028775217,0.795207679589333
"RS-S043",0.589558702905583,"Kapasitas besar",0.778761539125182,0.607071744490764,0.779534830614151
"RS-S044",0.716971995007725,"Kapasitas besar",0.722736411865288,0.717692848569218,0.993021572992215
"RS-S045",0.874879995671665,"Kapasitas kecil",0.884372971231604,0.884372971231605,1
"RS-S046",0.642700853278045,"Kapasitas kecil",1,1,1
"RS-S047",0.629948448178886,"Kapasitas besar",0.945454545454543,0.632333368517648,0.668814139778283
"RS-S048",0.658213999961352,"Kapasitas besar",0.691816744986679,0.669602809476718,0.967890433888835
"RS-S049",0.858415796655016,"Kapasitas kecil",0.918963501302631,0.918963501302631,1
"RS-S050",0.692176959341546,"Kapasitas besar",0.747515621432511,0.701394604620053,0.938300932462022
"RS-S051",0.786532331640506,"Kapasitas besar",0.911373517532349,0.854426783873716,0.937515483428986
"RS-S052",0.885557643128644,"Kapasitas besar",1,1,1
"RS-S053",0.81151400218773,"Kapasitas besar",0.881468886147378,0.880567979761712,0.998977948740082
"RS-S054",0.750875081621002,"Kapasitas kecil",0.761980344905367,0.761980344905367,1
"RS-S055",0.667332745334321,"Kapasitas kecil",0.846118637861599,0.846118637861589,0.999999999999987
"RS-S056",0.91005971501653,"Kapasitas kecil",1,0.947146643168293,0.947146643168293
"RS-S057",0.582244509404733,"Kapasitas kecil",0.618629376227852,0.618629376227852,1
"RS-S058",0.694545350598551,"Kapasitas kecil",0.737256052289788,0.737256052289789,1
"RS-S059",0.821622628314499,"Kapasitas kecil",0.838701913438486,0.838701913438486,1
"RS-S060",0.812253719730798,"Kapasitas kecil",0.874550069464083,0.874550069464083,1
"RS-S061",0.701673169987038,"Kapasitas kecil",0.770951302771103,0.770951302771059,0.999999999999943
"RS-S062",0.902823145301924,"Kapasitas kecil",0.971476465303218,0.971476465303218,1
"RS-S063",0.817415615480546,"Kapasitas besar",0.965662773017242,0.84259288722809,0.872553970984491
"RS-S064",0.949742887476137,"Kapasitas kecil",0.992328669029275,0.992328669029277,1
"RS-S065",0.668043524535379,"Kapasitas kecil",0.823391406290141,0.823391406290141,1
"RS-S066",0.79280848503668,"Kapasitas besar",0.799815212073615,0.797399379973515,0.996979512187776
"RS-S067",0.823559444995693,"Kapasitas besar",1,0.985221674876849,0.985221674876849
"RS-S068",0.664539408796743,"Kapasitas besar",0.936936936936936,0.675409953691831,0.720870239036474
"RS-S069",0.804568489363383,"Kapasitas besar",0.89951701971034,0.899306704541897,0.999766191007136
"RS-S070",0.831375940192891,"Kapasitas besar",0.896639688503874,0.89623132877051,0.999544566520309
"RS-S071",0.749187649750471,"Kapasitas kecil",0.75355354284503,0.75355354284503,1
"RS-S072",0.709409898009091,"Kapasitas kecil",1,1,1
"RS-S073",0.807199866310466,"Kapasitas besar",0.954570717201261,0.827323757746285,0.866697189467475
"RS-S074",0.721695113841425,"Kapasitas kecil",0.7246941644867,0.722952033162223,0.997596046153191
"RS-S075",0.56908732644721,"Kapasitas besar",0.826956734478764,0.590091039599807,0.713569422675716
"RS-S076",0.750736494927558,"Kapasitas kecil",0.82064674901175,0.82064674901175,1
"RS-S077",0.853569249448821,"Kapasitas kecil",0.8732081346457,0.873208134645701,1
"RS-S078",0.945291492357471,"Kapasitas kecil",0.966453013636891,0.966453013636892,1
"RS-S079",0.869975897810073,"Kapasitas kecil",0.91926474983028,0.91926474983028,1
"RS-S080",0.852306327546435,"Kapasitas besar",0.936633780574519,0.936257533537379,0.999598298668121
"RS-S081",0.558848135017374,"Kapasitas kecil",0.586426009045947,0.586426009045947,1
"RS-S082",0.809820955270806,"Kapasitas besar",0.851752797405169,0.810151045358024,0.951157481168381
"RS-S083",0.832717009173355,"Kapasitas kecil",0.841005515763725,0.841005515763726,1
"RS-S084",0.794762866625617,"Kapasitas kecil",0.930425315563989,0.930425315563975,0.999999999999986
"RS-S085",0.867272733700532,"Kapasitas kecil",1,1,1
"RS-S086",0.794911365271262,"Kapasitas kecil",0.848079341585443,0.816891489042031,0.963225312757757
"RS-S087",0.789994522011791,"Kapasitas besar",0.963916899523891,0.956937799043062,0.992759645064553
"RS-S088",0.712780029889161,"Kapasitas besar",1,0.898876404494382,0.898876404494382
"RS-S089",0.896355271010815,"Kapasitas kecil",0.903548845502452,0.903548845502453,1
"RS-S090",0.794743410968668,"Kapasitas besar",0.906421239484445,0.863977495130989,0.95317437135785
"RS-S091",0.715337398049882,"Kapasitas besar",0.759361679644557,0.717526312078759,0.944907191543586
"RS-S092",0.749603966749015,"Kapasitas kecil",0.755879652587612,0.755879652587612,1
"RS-S093",0.880838256579315,"Kapasitas besar",0.92558240676325,0.911911572329466,0.985230019138338
"RS-S094",0.796036705807686,"Kapasitas kecil",0.832914993497261,0.832914993497263,1
"RS-S095",0.660774604652202,"Kapasitas kecil",0.693538857232512,0.693538857232512,1
"RS-S096",0.700620374459332,"Kapasitas kecil",0.924383076939274,0.924383076939262,0.999999999999986
"RS-S097",0.810262515899971,"Kapasitas besar",0.863041570122243,0.81257074120753,0.94151981704941
"RS-S098",0.674981285933144,"Kapasitas besar",0.902231820785664,0.688138509474565,0.76270698241981
"RS-S099",0.784506189944068,"Kapasitas besar",0.860235457905211,0.859871022049507,0.999576353366563
"RS-S100",0.635996883851543,"Kapasitas besar",0.838519531108351,0.636515995663565,0.759095014545721
"RS-S101",0.74267787308095,"Kapasitas kecil",0.746936876929406,0.746936876929406,1
"RS-S102",0.957499645665852,"Kapasitas kecil",1,1,1
"RS-S103",0.700440610189575,"Kapasitas kecil",1,1,1
"RS-S104",0.796668917886414,"Kapasitas besar",0.804421061775435,0.800634251186315,0.995292501938274
"RS-S105",0.630684310527179,"Kapasitas besar",0.737889419651838,0.654878784418004,0.887502608083198
"RS-S106",0.74271962564385,"Kapasitas kecil",0.755896003563887,0.755896003563887,1
"RS-S107",0.865468261891441,"Kapasitas kecil",0.970071083791202,0.910996604638508,0.939102937774599
"RS-S108",0.72648470125281,"Kapasitas besar",0.889235730359691,0.75927846698144,0.853855103949001
"RS-S109",0.801060526108092,"Kapasitas besar",0.805615659024564,0.80512413413249,0.999389876690494
"RS-S110",1.0468799231915,"Kapasitas kecil",1,1,1
"RS-S111",0.867950357138718,"Kapasitas kecil",0.974358600308684,0.974358600308683,1
"RS-S112",0.930007666573738,"Kapasitas kecil",1,1,1
"RS-S113",0.892087741231339,"Kapasitas besar",0.939972184858034,0.939972184858036,1
"RS-S114",0.991411672660192,"Kapasitas besar",1,1,1
"RS-S115",0.965952583548403,"Kapasitas kecil",1,1,1
"RS-S116",0.984900671406139,"Kapasitas besar",1,1,1
"RS-S117",0.476727324683139,"Kapasitas kecil",1,1,1
"RS-S118",0.996031505061353,"Kapasitas besar",1,0.998532356503471,0.998532356503471
"RS-S119",0.976052295460749,"Kapasitas kecil",0.98087454758657,0.98087454758657,1
"RS-S120",0.700117082834269,"Kapasitas besar",0.740842872977109,0.700159054173465,0.945084416294436
