"id","region","phi","potential_pct","anc4","anc4_target"
"KAB-S001","Barat",1.02021009824449,2.02100982444855,61.43,62.6715063351587
"KAB-S002","Barat",1,0,59.49,59.49
"KAB-S003","Barat",1,0,52.81,52.81
"KAB-S004","Barat",1,0,69.48,69.48
"KAB-S005","Barat",1.0828942608496,8.28942608495986,54.67,59.2018292406476
"KAB-S006","Barat",1,0,38.13,38.13
"KAB-S007","Barat",1,0,54.73,54.73
"KAB-S008","Barat",1,0,38.77,38.77
"KAB-S009","Barat",1.06155944303794,6.15594430379438,59.34,62.9929373498716
"KAB-S010","Barat",1,0,69.54,69.54
"KAB-S011","Barat",1.13224704670805,13.2247046708052,50.15,56.7821893924088
"KAB-S012","Barat",1,0,56.26,56.26
"KAB-S013","Barat",1.03099052281567,3.09905228156682,57.91,59.7046611762553
"KAB-S014","Barat",1,0,62.05,62.05
"KAB-S015","Barat",1.01101257856044,1.10125785604376,65.49,66.211213769923
"KAB-S016","Barat",1,0,45.15,45.15
"KAB-S017","Barat",1,0,39.23,39.23
"KAB-S018","Barat",1.03282272194565,3.28227219456472,55.3,57.1150965235943
"KAB-S019","Barat",1,0,56.56,56.56
"KAB-S020","Barat",1,0,48.87,48.87
"KAB-S021","Barat",1.03147850185148,3.14785018514763,51.65,53.2758646206287
"KAB-S022","Barat",1.17445964474412,17.4459644744122,48.78,57.2901414706183
"KAB-S023","Barat",1.06128106676246,6.12810667624604,62.3,66.1178104593013
"KAB-S024","Barat",1.09320215331116,9.32021533111558,57.45,62.8044637077259
"KAB-S025","Barat",1,0,67.04,67.04
"KAB-S026","Barat",1.04262401727567,4.26240172756747,47.58,49.6080507419766
"KAB-S027","Barat",1.00848838465013,0.84883846501338,67,67.568721771559
"KAB-S028","Barat",1,0,44.38,44.38
"KAB-S029","Barat",1,0,73.68,73.68
"KAB-S030","Barat",1,0,70.36,70.36
"KAB-S031","Barat",1,0,65.79,65.79
"KAB-S032","Barat",1.03331998457958,3.33199845795829,47.55,49.1343652667592
"KAB-S033","Barat",1,0,40.75,40.75
"KAB-S034","Barat",1,0,67.41,67.41
"KAB-S035","Barat",1,0,69.26,69.26
"KAB-S036","Barat",1.05854730140432,5.85473014043216,55.66,58.9187427961645
"KAB-S037","Barat",1,0,65.53,65.53
"KAB-S038","Barat",1.01159884270158,1.15988427015832,68.11,68.8999971764048
"KAB-S039","Barat",1.05617872856223,5.61787285622344,57.57,60.8042094033278
"KAB-S040","Barat",1,0,48.45,48.45
"KAB-S041","Tengah",1,0,57.76,57.76
"KAB-S042","Tengah",1,0,63.36,63.36
"KAB-S043","Tengah",1.11294651574283,11.2946515742833,43.46,48.3686555741835
"KAB-S044","Tengah",1,0,53.94,53.94
"KAB-S045","Tengah",1.01329081308775,1.32908130877525,44.98,45.5778207726871
"KAB-S046","Tengah",1,0,48.27,48.27
"KAB-S047","Tengah",1,0,57.52,57.52
"KAB-S048","Tengah",1,0,73.58,73.58
"KAB-S049","Tengah",1,0,72.84,72.84
"KAB-S050","Tengah",1,0,63.66,63.66
"KAB-S051","Tengah",1.0671031441155,6.71031441155037,52.58,56.1082833175932
"KAB-S052","Tengah",1,0,43.81,43.81
"KAB-S053","Tengah",1.05641991716348,5.641991716348,46.26,48.8699853679826
"KAB-S054","Tengah",1.15503158989068,15.503158989068,47.48,54.8408998880095
"KAB-S055","Tengah",1,0,58.06,58.06
"KAB-S056","Tengah",1,0,50.62,50.62
"KAB-S057","Tengah",1.15016987286386,15.0169872863865,49.98,57.485490245736
"KAB-S058","Tengah",1,0,58.72,58.72
"KAB-S059","Tengah",1.17126592542419,17.1265925424189,55.15,64.595315787144
"KAB-S060","Tengah",1,0,65.85,65.85
"KAB-S061","Tengah",1,0,55.45,55.45
"KAB-S062","Tengah",1,0,54.24,54.24
"KAB-S063","Tengah",1.03046990632267,3.04699063226721,68.36,70.4429227962179
"KAB-S064","Tengah",1,0,60.55,60.55
"KAB-S065","Tengah",1,0,52.38,52.38
"KAB-S066","Tengah",1.06078482916008,6.07848291600848,46.91,49.7614163358996
"KAB-S067","Tengah",1.03984370827966,3.98437082796566,55.93,58.1584586040812
"KAB-S068","Tengah",1.01320425058931,1.32042505893144,47.33,47.9549571803922
"KAB-S069","Tengah",1,0,63.25,63.25
"KAB-S070","Tengah",1.00425679509892,0.425679509892474,70,70.2979756569247
"KAB-S071","Tengah",1,0,58.47,58.47
"KAB-S072","Tengah",1,0,70.11,70.11
"KAB-S073","Tengah",1,0,67.58,67.58
"KAB-S074","Tengah",1,0,64.47,64.47
"KAB-S075","Tengah",1,0,60.41,60.41
"KAB-S076","Tengah",1.17683265962471,17.6832659624713,49.39,58.1237650588646
"KAB-S077","Tengah",1,0,57.45,57.45
"KAB-S078","Tengah",1,0,62.51,62.51
"KAB-S079","Tengah",1,0,49.15,49.15
"KAB-S080","Tengah",1.04973314843482,4.97331484348229,64.43,67.6343067536557
"KAB-S081","Timur",1,0,47.53,47.53
"KAB-S082","Timur",1,0,70.95,70.95
"KAB-S083","Timur",1.10010646841156,10.0106468411562,57.8,63.5861538741883
"KAB-S084","Timur",1,0,60.51,60.51
"KAB-S085","Timur",1,0,63.21,63.21
"KAB-S086","Timur",1,0,49.65,49.65
"KAB-S087","Timur",1.0384921362929,3.8492136292898,47.35,49.1726026534687
"KAB-S088","Timur",1.01298003898643,1.29800389864292,66.91,67.778494408582
"KAB-S089","Timur",1,0,60.92,60.92
"KAB-S090","Timur",1.02381263901699,2.3812639016985,47.83,48.9689585241824
"KAB-S091","Timur",1.06293627167176,6.29362716717585,52.68,55.9954827916682
"KAB-S092","Timur",1.04951584292014,4.95158429201401,49.08,51.5102375705205
"KAB-S093","Timur",1.09158880356802,9.15888035680215,53.84,58.7711411841023
"KAB-S094","Timur",1,0,51.27,51.27
"KAB-S095","Timur",1.03193864327635,3.19386432763509,68.56,70.7497133830266
"KAB-S096","Timur",1.01148073587979,1.14807358797855,70.51,71.3195066868837
"KAB-S097","Timur",1,0,57.46,57.46
"KAB-S098","Timur",1,0,48.16,48.16
"KAB-S099","Timur",1,0,58.6,58.6
"KAB-S100","Timur",1,0,59.77,59.77
"KAB-S101","Timur",1,0,59.2,59.2
"KAB-S102","Timur",1.10821919356174,10.821919356174,47.91,53.094781563543
"KAB-S103","Timur",1.16470261385521,16.4702613855213,45.06,52.4814997803159
"KAB-S104","Timur",1.07021588117979,7.02158811797895,51.58,55.2017351512535
"KAB-S105","Timur",1,0,47.98,47.98
"KAB-S106","Timur",1.11978240938656,11.9782409386559,61.75,69.14656377962
"KAB-S107","Timur",1,0,56.25,56.25
"KAB-S108","Timur",1.04420433066227,4.42043306622708,58.71,61.3052362531819
"KAB-S109","Timur",1.11757649199319,11.757649199319,60.78,67.9262991833461
"KAB-S110","Timur",1,0,64.15,64.15
"KAB-S111","Timur",1.16969229863801,16.9692298638011,53.56,62.6487195150518
"KAB-S112","Timur",1,0,53.76,53.76
"KAB-S113","Timur",1.09148217921665,9.14821792166514,63.5,69.3091183802574
"KAB-S114","Timur",1.0004469409209,0.0446940920900696,52.82,52.843607419442
"KAB-S115","Timur",1,0,65.41,65.41
"KAB-S116","Timur",1,0,52.43,52.43
"KAB-S117","Timur",1,0,56.91,56.91
"KAB-S118","Timur",1.02864923734103,2.86492373410336,57.81,59.4662124106852
"KAB-S119","Timur",1,0,54.59,54.59
"KAB-S120","Timur",1,0,51.76,51.76
